Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Hipposideridae,Anthops,,ornatus,Thomas,1888,0,"Ann. Mag. Nat. Hist.","ser. 6, 1: 156","Flower-faced Bat"
Hipposideridae,Asellia,,arabica,"Benda, Vallo & Reiter",2011,0,"Acta Chiropterol.","13: 2","Arabian Trident Leaf-nosed Bat"
Hipposideridae,Asellia,,italosomalica,"De Beaux",1931,0,"Ann. Mus. Civ. Stor. Nat. Genova","55: 190","Horn-of-Africa Trident Leaf-nosed Bat"
Hipposideridae,Asellia,,patrizii,DeBeaux,1931,0,"Ann. Mus. Civ. Stor. Nat. Genova","55: 186","Patrizi's Trident Leaf-nosed Bat"
Hipposideridae,Asellia,,tridens,"E. Geoffroy",1813,1,"Ann. Mus. Natn. Hist. Nat. Paris","20: 265","Geoffroy's Trident Leaf-nosed Bat"
Hipposideridae,Aselliscus,,dongbacana,"Tu, Csorba, G&ouml;orf&ouml;l, Arai, Son, Thanh, & Hasanin",2015,0,"Acta Chiropterol.","17(2): 243","Dong Bac's Trident Bat"
Hipposideridae,Aselliscus,,stoliczkanus,Dobson,1871,1,"Proc. Asiat. Soc. Bengal","1871: 106","Stoliczka's Asian Trident Bat"
Hipposideridae,Aselliscus,,tricuspidatus,Temminck,1835,1,"Monogr. Mamm.","2: 20","Temminck's Asian Trident Bat"
Hipposideridae,Coelops,,frithii,Blyth,1848,0,"J. Asiat. Soc. Bengal","17: 251","East Asian Tailless Leaf-nosed Bat"
Hipposideridae,Coelops,,robinsoni,Bonhote,1908,0,"J. Fed. Malay St. Mus.","3: 4","Malayan Tailless Leaf-nosed Bat"
Hipposideridae,Doryrhina,,cyclops,Temminck,1853,1,"Esquisses Zool. sur la C&ocirc;te de Guine","p. 75","Cyclops Leaf-nosed Bat"
Hipposideridae,Hipposideros,,abae,"J. A. Allen",1917,0,"Bull. Am. Mus. Nat. Hist.","37: 432","Aba Leaf-nosed Bat"
Hipposideridae,Hipposideros,,alongensis,Bourret,1942,0,"C. R. Cons. Rech. Sci. Indochine,","2nd sem, ","Halong Bay Leaf-nosed Bat"
Hipposideridae,Hipposideros,,armiger,Hodgson,1835,1,"J. Asiat. Soc. Bengal","4: 699","Great Leaf-nosed Bat"
Hipposideridae,Hipposideros,,ater,Templeton,1848,0,"J. Asiat. Soc. Bengal","17: 252","Dusky Leaf-nosed Bat"
Hipposideridae,Hipposideros,,atrox,Andersen,1918,0,"Ann. Mag. Nat. Hist.","ser. 9, 2: 381","Ferocious Leaf-nosed Bat"
Hipposideridae,Hipposideros,,beatus,"K. Andersen",1906,0,"Ann. Mag. Nat. Hist.","ser. 7, 17: 279","Benito Leaf-nosed Bat"
Hipposideridae,Hipposideros,,bicolor,Temminck,1834,1,"Tijdschr. Nat. Gesch. Physiol.","1: 19","Bicolored Leaf-nosed Bat"
Hipposideridae,Hipposideros,,boeadii,"Bates, Rossiter, Suyanto & Kingston",2007,0,"Acta Chiropterol.","9(1): 14","Boeadi&apos;s Leaf-nosed Bat"
