Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Rhinolophidae,Rhinolophus,,acuminatus,Peters,1871,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1871: 308","Accuminate Horseshoe Bat"
Rhinolophidae,Rhinolophus,,adami,"Aellen & Brosset",1968,0,"Rev. Suisse Zool.","75: 443","Adam's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,affinis,Horsfield,1823,0,"Zool. Res. Java","6: pl. figs. a, b","Intermediate Horseshoe Bat"
Rhinolophidae,Rhinolophus,,alcyone,Temminck,1853,0,"Esquisses Zool. sur la C&ocirc;te de Guine","p. 80","Halcyon Horseshoe Bat"
Rhinolophidae,Rhinolophus,,arcuatus,Peters,1871,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1871: 305","Arcuate Horseshoe Bat"
Rhinolophidae,Rhinolophus,,beddomei,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 16: 253","Bedomme's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,belligerator,"Patrick, McCulloch & Ruedas",2013,0,"Zool. Scr.","42(6): 568","Belligerent Horseshoe Bat"
Rhinolophidae,Rhinolophus,,blasii,Peters,1867,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1866: 17","Blasius' Horseshoe Bat"
Rhinolophidae,Rhinolophus,,bocharicus,"Kastchenko & Akimov",1917,0,"Annu. Mus. Zool. Acad. St. Petersb.","22: 221","Central Asian Horseshoe Bat"
Rhinolophidae,Rhinolophus,,borneensis,Peters,1861,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1861: 709","Bornean Horseshoe Bat"
Rhinolophidae,Rhinolophus,,canuti,"Thomas & Wroughton",1909,0,"Abstr. Proc. Zool. Soc. Lond.","1909(68): 18","Canut's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,capensis,Lichtenstein,1823,0,"Verz. Doblet. Mus. Univ. Berlin","p. 4","Cape Horseshoe Bat"
Rhinolophidae,Rhinolophus,,celebensis,"K. Andersen",1905,0,"Proc. Zool. Soc. Lond.","1905(2): 83","Sulawesi Horseshoe Bat"
Rhinolophidae,Rhinolophus,,chiewkweeae,"Yoshiyuki & Lim",2005,0,"Bull Natn. Sci Mus Tokyo, Ser. A","31(1): 30","Chiew Kwee&apos;s Horseshoe Bat"
Rhinolophidae,Rhinolophus,,clivosus,Cretzschmar,1828,0,"In R&uuml;ppell, Atlas Reise Nordl. Afr., Zool. S&auml;ugeth.","p. 47","Geoffroy's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,coelophyllus,Peters,1867,0,"Proc. Zool. Soc. Lond.","1866: 426","Croslet Horseshoe Bat"
Rhinolophidae,Rhinolophus,,cognatus,"K. Andersen",1906,0,"Ann. Mus. Civ. Stor. Nat. Genova, ser. 3","2: 181","Andaman Horseshoe Bat"
Rhinolophidae,Rhinolophus,,cohenae,"Taylor, Stoffberg, Monadjem, Schoeman, Bayliss & Cotterill",2012,0,"PLoS ONE","7(9): 16","Cohen's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,convexus,Csorba,1997,0,"J. Mammal.","78: 343","Convex Horseshoe Bat"
Rhinolophidae,Rhinolophus,,cornutus,Temminck,1834,0,"Tijdschrift Natuurl. Gesch. Physiol.","1: 30","Little Japanese Horseshoe Bat"
Rhinolophidae,Rhinolophus,,creaghi,Thomas,1896,0,"Ann. Mag. Nat. Hist.","ser. 6, 18: 244","Creagh's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,damarensis,Roberts,1946,0,"Ann. Trans. Mus.","20(4): 303","Damara Horseshoe Bat"
Rhinolophidae,Rhinolophus,,darlingi,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 15: 70","Darling's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,deckenii,Peters,1868,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1867: 705","Decken's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,denti,Thomas,1904,0,"Ann. Mag. Nat. Hist.","ser. 7, 13: 386","Dent's Horseshoe Bat"
Rhinolophidae,Rhinolophus,,eloquens,"K. Andersen",1905,0,"Ann. Mag. Nat. Hist.","ser. 7, 15: 74","Eloquent Horseshoe Bat"
Rhinolophidae,Rhinolophus,,episcopus,Allen,1923,0,"Am. Mus. Novitates","85: 2","Guardian Horseshoe Bat"
Rhinolophidae,Rhinolophus,,euryale,Blasius,1853,0,"Arch. Naturgesch.","19(1): 49","Mediterranean Horseshoe Bat"
Rhinolophidae,Rhinolophus,,euryotis,Temminck,1835,0,"Monogr. Mamm.","2: 26","Broad-eared Horseshoe Bat"
