Family,Genus,Subgenus,Species,Author,Date,"Parentheses (1=author & date in parentheses)",Citation,Pages,"Common Name"
Rhinonycteridae,Cloeotis,,percivali,Thomas,1901,0,"Ann. Mag. Nat. Hist.","ser. 7, 8: 28","Percival's Short-eared Trident Bat"
Rhinonycteridae,Paratriaenops,,auritus,Grandidier,1912,1,"Bull. Mus. Natl. Hist. Nat. Paris","18: 8","Grandidier's Trident Bat"
Rhinonycteridae,Paratriaenops,,furculus,Trouessart,1906,1,"Bull. Mus. Natn. Hist. Nat. Paris","1906(7): 446","Trouessart's Trident Bat"
Rhinonycteridae,Paratriaenops,,pauliani,"Goodman & Ranivo",2008,1,Zoosystema,"30(3): 685","Paulian&apos;s Trident Bat"
Rhinonycteridae,Rhinonicteris,,aurantia,Gray,1845,1,"In Eyre, Central Australia","1: 405","Orange Leaf-nosed Bat"
Rhinonycteridae,Triaenops,,afer,Peters,1877,0,"Monatsb. K. Preuss. Akad. Wiss. Berlin","1876: 913","African Trident Bat"
Rhinonycteridae,Triaenops,,menamena,"Goodman & Ranivo",2009,0,Mammalia,73,
Rhinonycteridae,Triaenops,,parvus,"Benda & Vallo",2009,0,"Folia Zoologica","58(1): 29","Little Trident Bat"
Rhinonycteridae,Triaenops,,persicus,Dobson,1871,0,"J. Asiat. Soc. Bengal","40: 455","Persian Trident Bat"
Rhinonycteridae,Triaenops,,rufus,Milne-Edwards,1881,0,"C. R. Hebd. S&eacute;anc. Acad, Sci., Paris","91: 1035","Rufous Trident Bat"
