idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
yes,yes,139c196b-d7cf-4d17-a96f-898a27eb1929,859454694,cb790bee-26da-40ed-94e0-d179618f9bd4,96ca66b4-f762-11e1-a439-00145eb45e9a,amnh,mammals,m-175962,asellia tridens murraiana,"Asellia tridens murraiana Anderson, 1881",afghanistan,kandahar,bachwan,NA,Shamshir Ghar cave.,1950,NA,"Skull, Cranium and Mandible, Not Mounted",NA
yes,yes,ae68f495-af03-4132-9aac-8c191f1fbbd9,859454689,cb790bee-26da-40ed-94e0-d179618f9bd4,96ca66b4-f762-11e1-a439-00145eb45e9a,amnh,mammals,m-175964,asellia tridens murraiana,"Asellia tridens murraiana Anderson, 1881",afghanistan,kandahar,bachwan,NA,Shamshir Ghar cave.,1950,NA,"Skull, Cranium and Mandible, Not Mounted",NA
yes,yes,b2b1b7a0-eab9-4122-8797-9dcfd57d4435,859454792,cb790bee-26da-40ed-94e0-d179618f9bd4,96ca66b4-f762-11e1-a439-00145eb45e9a,amnh,mammals,m-175963,asellia tridens murraiana,"Asellia tridens murraiana Anderson, 1881",afghanistan,kandahar,bachwan,NA,Shamshir Ghar cave.,1950,NA,"Skull, Cranium and Mandible, Not Mounted",NA
yes,yes,d5c7f6af-4872-4faa-ac90-10a0962bc067,859558103,cb790bee-26da-40ed-94e0-d179618f9bd4,96ca66b4-f762-11e1-a439-00145eb45e9a,amnh,mammals,m-175965,asellia tridens murraiana,"Asellia tridens murraiana Anderson, 1881",afghanistan,kandahar,bachwan,NA,Shamshir Ghar cave.,1950,NA,"Skull, Skeleton, Cranium and Mandible, Complete Post-cranial Skeleton, Not Mounted, Disarticulated",NA
yes,yes,4fa179e1-b36c-4cb5-aad3-eac979805a88,79968850,858a7761-82a5-47df-8e8a-dbc8806cf424,427a6290-0c65-11dd-84d2-b8a03c50a862,mzlu,mammalia,l958/3316,"asellia tridens murraiana anderson, 1881","Asellia tridens murraiana Anderson, 1881",afghanistan,NA,NA,NA,Grotte du Kouh-Dozd (Dilaram),1958,NA,Alcohol,NA
yes,yes,64aa2de0-5925-49c6-ba78-ae99894b1dd6,79968849,858a7761-82a5-47df-8e8a-dbc8806cf424,427a6290-0c65-11dd-84d2-b8a03c50a862,mzlu,mammalia,l958/3315,"asellia tridens murraiana anderson, 1881","Asellia tridens murraiana Anderson, 1881",afghanistan,NA,NA,NA,"Grotte de Siaou (Siah Ab), Bakva",1958,NA,Alcohol,NA
yes,yes,65385cef-343d-4d16-80bc-86ceb070a6fb,859443568,cb790bee-26da-40ed-94e0-d179618f9bd4,96ca66b4-f762-11e1-a439-00145eb45e9a,amnh,mammals,m-170278,asellia tridens murraiana,"Asellia tridens murraiana Anderson, 1881",afghanistan,NA,NA,NA,North of Badwan,NA,NA,"Skull, Cranium and Mandible, Not Mounted",NA
yes,yes,7f89668a-3c0f-4684-a3dd-519e58bc2231,686462928,fb4a4330-9124-4013-a0e1-af42ee20cd16,1d04e739-98a9-4e16-9970-8f8f3bf9e9e3,ku,kum,135668,hipposideros caffer,"Hipposideros caffer (Sundevall, 1846)",africa,NA,NA,NA,NO LOCALITY,1976,NA,EtOH Complete,NA
yes,NA,7915bb59-ae5f-4cab-8337-235e70ae8899,NA,d0d1c390-e662-4980-97e3-ae0039a06de8,NA,NA,mammalia,NA,asellia tridens (e. geoffroy),NA,al-jazā'ir,sahara central,NA,NA,Aoule  (oase),1952,NA,alcohol >70%,NA
yes,NA,f889b3cb-be1a-4506-8422-f60bd2be1f61,NA,d0d1c390-e662-4980-97e3-ae0039a06de8,NA,NA,mammalia,NA,asellia tridens (e. geoffroy),NA,al-jazā'ir,NA,NA,NA,Ouallen,NA,NA,alcohol >70%,NA
NA,yes,NA,1717243677,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Ain Ouarka,1982,NA,pellets,NA
NA,yes,NA,1717243835,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Ighzer,1982,NA,pellets,NA
NA,yes,NA,1717243827,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Igeli,1980,NA,pellets,NA
NA,yes,NA,1717243737,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Taghit,1970,NA,pellets,NA
NA,yes,NA,1717240998,NA,1933e8e0-3331-11de-8db8-b8a03c50a862,isez-pas,NA,NA,NA,"Asellia tridens (E.Geoffroy, 1813)",algeria,NA,NA,NA,Ain Ouarka,NA,NA,skin & bones,NA
