idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
yes,yes,14249182-d583-4329-983e-6332a765b438,2274766341,a8413649-05d9-46da-b137-1317a709453f,717b3b87-0ebd-46b4-812b-4a29786798d9,umzc,vertebrates,e.5630.a,megaderma frons,Lavia frons frons,[ghana],NA,NA,NA,Cape Coast Castle,NA,NA,Whole specimen (in spirit),NA
yes,yes,1fb2ee6d-07ae-4d9a-a90a-327e9ca0f453,2274783220,a8413649-05d9-46da-b137-1317a709453f,717b3b87-0ebd-46b4-812b-4a29786798d9,umzc,vertebrates,e.5630.c,megaderma frons,Lavia frons frons,[ghana],NA,NA,NA,Accra,NA,NA,Whole specimen (in spirit),NA
yes,yes,59ecdc22-9fd2-4bee-9a86-0ae9f4a19d68,2274760950,a8413649-05d9-46da-b137-1317a709453f,717b3b87-0ebd-46b4-812b-4a29786798d9,umzc,vertebrates,e.5630.b,megaderma frons,Lavia frons frons,[ghana],NA,NA,NA,Cape Coast Castle,NA,NA,Whole specimen (in spirit),NA
yes,yes,012e65ff-5c93-4a14-aa5e-285fdac50c75,1320811147,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,396833,macroderma gigas,"Macroderma gigas (Dobson, 1880)",australia,northern territory,NA,NA,"Darwin, 162 Mi SE",1972,NA,Skin; Skull,NA
yes,yes,093f7ab7-8f54-4a0b-93f8-d510e03aeaaa,1320075816,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,396832,macroderma gigas,"Macroderma gigas (Dobson, 1880)",australia,northern territory,NA,NA,"Darwin, 162 Mi SE",1972,NA,Skin; Skull,NA
yes,NA,1bba4c0c-63b5-4c63-b753-b0e93a67b545,NA,2d853a6d-50ec-4931-8e91-48fc2491fdee,NA,lacm,mammals,NA,macroderma gigas,NA,australia,northern territory,NA,NA,"12 km E Mt. Wells, Casey's Mine",1988,NA,"Skin and skull, Tissue 1083",NA
yes,yes,25a2c08d-820a-4037-a47f-039d444e2633,476853711,271a9ce9-c6d3-4b63-a722-cb0adc48863f,4bfac3ea-8763-4f4b-a71a-76a6f5f243d3,mcz,mamm,28145,macroderma gigas,"Macroderma gigas (Dobson, 1880)",australia,northern territory,NA,NA,"north Northern Territory, Oenpelli, East Alligator River",1918,NA,whole animal (ethanol),NA
yes,yes,3c09075c-5eac-499d-9ca8-f2100e28398c,1319009967,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,396830,macroderma gigas,"Macroderma gigas (Dobson, 1880)",australia,northern territory,NA,NA,"Darwin, 162 Mi SE",1972,NA,Skin,NA
yes,yes,5d0c61b0-f122-4a2c-8926-28cf12e10fc2,1320834060,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,396886,macroderma gigas,"Macroderma gigas (Dobson, 1880)",australia,northern territory,NA,NA,"Darwin, 150 Mi SE",1972,NA,Skin; Skull,NA
yes,yes,741f4a3e-404c-4478-b325-1eeb3f3ea65f,1322680727,a6eee223-cf3b-4079-8bb2-b77dad8cae9d,821cc27a-e3bb-4bc5-ac34-89ada245069d,usnm,mammals,396867,macroderma gigas,"Macroderma gigas (Dobson, 1880)",australia,northern territory,NA,NA,"Darwin, 162 Mi SE, Jim Jim Creek Tributary Of S Alligator River",1972,NA,Fluid,NA
