idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
yes,yes,40ba1154-1f8d-4fd5-b08a-392f5c8ddb35,2274763256,a8413649-05d9-46da-b137-1317a709453f,717b3b87-0ebd-46b4-812b-4a29786798d9,umzc,vertebrates,e.5602.f,rhinolophus hipposideros,"Rhinolophus hipposideros (Bechstein, 1800)",[england; u.k.],NA,NA,NA,Cirencester,NA,NA,Whole specimen (in spirit),NA
yes,yes,a52ab287-c836-42e7-bd60-cea429b241c8,2274782239,a8413649-05d9-46da-b137-1317a709453f,717b3b87-0ebd-46b4-812b-4a29786798d9,umzc,vertebrates,e.5602.b,rhinolophus hipposideros,"Rhinolophus hipposideros (Bechstein, 1800)",[england; u.k.],NA,NA,NA,Girton; Cambridgeshire],NA,NA,Whole specimen (in spirit),NA
yes,yes,b7c4ceae-32bb-4ad7-92a7-7616adc39691,2274724476,a8413649-05d9-46da-b137-1317a709453f,717b3b87-0ebd-46b4-812b-4a29786798d9,umzc,vertebrates,e.5602.g,rhinolophus hipposideros,"Rhinolophus hipposideros (Bechstein, 1800)",[england; u.k.],NA,NA,NA,Cirencester,NA,NA,Whole specimen (in spirit),NA
yes,yes,d21ed7dc-51e9-42a9-a20e-a18ba904c9d3,2274716878,a8413649-05d9-46da-b137-1317a709453f,717b3b87-0ebd-46b4-812b-4a29786798d9,umzc,vertebrates,e.5602.a,rhinolophus hipposideros,"Rhinolophus hipposideros (Bechstein, 1800)",[england; u.k.],NA,NA,NA,Dorset,NA,NA,Whole specimen (in spirit),NA
yes,yes,6ef0eef3-142e-4dc9-8f0f-40e234126b33,2274770853,a8413649-05d9-46da-b137-1317a709453f,717b3b87-0ebd-46b4-812b-4a29786798d9,umzc,vertebrates,e.5616.a,phyllorhina caffra,Rhinolophidae,[ghana],NA,NA,NA,Gold Coast,NA,NA,Whole specimen (in spirit),NA
yes,yes,01b66b7f-70cf-43db-ba26-310aa64cc1bb,665872318,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102294,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,02263ddf-fa72-47be-9a18-6523f2d6c4ff,665872284,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102286,rhinolophus lepidus,"Rhinolophus lepidus Blyth, 1844",afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,093d6c72-c1cd-4252-83e6-9590d8887f8e,665849650,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102384,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine, Lindberg's Cave #15",1965,NA,NA,NA
yes,yes,0b119de2-5377-4210-93b6-4c54520d0d69,665872281,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102421,rhinolophus lepidus,"Rhinolophus lepidus Blyth, 1844",afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,14f548a5-1330-40a1-84b8-cbc2345d096f,665872312,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102312,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,252798d3-9359-43cb-b4ca-caa59414239c,665849654,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102418,rhinolophus lepidus,"Rhinolophus lepidus Blyth, 1844",afghanistan,parwan,NA,NA,"Firindjal, lead mine, Lindberg's Cave #15",1965,NA,NA,NA
yes,yes,26dd6454-0cd1-4595-9156-7cf6d496ef5d,665872307,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102307,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,294787c1-250d-4460-ac19-2477de3979ae,665872299,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102316,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,2bc9c684-1b62-44ad-a4c1-5586c83c40d4,665872280,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102283,rhinolophus lepidus,"Rhinolophus lepidus Blyth, 1844",afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,306d5250-ab4a-48e0-8d44-dd7fde58e594,665872279,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102284,rhinolophus lepidus,"Rhinolophus lepidus Blyth, 1844",afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,350a73ab-1cb3-4af1-9841-bb71f0256582,665872308,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102308,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,3673b518-b4f2-4eda-9b8d-712cd5b21764,665872313,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102313,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,3daacb6f-daa3-4e23-b465-1646707a8b1b,665872306,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102306,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,421abfb3-8774-4db5-99d8-bde8aa9dcfac,665872298,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102315,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,51ff9ee3-bde4-49f9-8011-aa0f073810e4,665872295,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102304,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,55317a35-7387-44e5-a3b2-d161b008fbb0,665872309,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102309,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,59ed612f-88f8-4cc4-8ac7-0211991f921e,665872323,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102420,rhinolophus lepidus,"Rhinolophus lepidus Blyth, 1844",afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,5dfd1697-932f-4152-b7ab-f04006af7343,665872287,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102298,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,5e3f9f99-2551-478e-882c-13ff3187e250,665872320,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102296,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,61983500-6593-459e-a65a-79d210e6ba99,665872296,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102305,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,699ebded-3911-452d-b05d-b0c63848ed05,665872316,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102292,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,6aece3a1-7b33-4a64-b94f-f1b6b7250831,665872321,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102297,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,6c3dd9f9-0a8c-49bb-93fc-8ea0a370d337,665872285,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102287,rhinolophus lepidus,"Rhinolophus lepidus Blyth, 1844",afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
yes,yes,772822c8-e2c3-4f55-abc4-3822fcceda90,665849652,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102416,rhinolophus lepidus,"Rhinolophus lepidus Blyth, 1844",afghanistan,parwan,NA,NA,"Firindjal, lead mine, Lindberg's Cave #15",1965,NA,NA,NA
yes,yes,7a4ac037-9989-418f-9477-8ef6d0f0f9c4,665849648,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102382,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine, Lindberg's Cave #15",1965,NA,NA,NA
yes,yes,7e32f931-cee6-48d8-87db-6a15490b6c55,665872305,9e046dad-2b23-4f95-8eaf-c0346de2556e,41fc5c40-5e81-496f-9733-6b5681b3b7a5,fmnh,mammals,102322,rhinolophus blasii blasii,Rhinolophus blasii blasii,afghanistan,parwan,NA,NA,"Firindjal, lead mine (Lindberg's Cave #15)",1965,NA,NA,NA
