idigbio,gbif,idigbio_uuid,gbif_key,idigbio_recordset,gbif_datasetkey,institutionCode,collectionCode,catalogNumber,idigbio_scientificname,gbif_acceptedScientificName,country,stateProvince,county,municipality,locality,year,habitat,preparations,idigbio_associatedSequences
yes,yes,0808f062-bd95-4bd6-b7fe-27308b82503f,859443306,cb790bee-26da-40ed-94e0-d179618f9bd4,96ca66b4-f762-11e1-a439-00145eb45e9a,amnh,mammals,m-170279,rhinopoma microphyllum microphyllum,Rhinopoma microphyllum microphyllum,afghanistan,NA,NA,NA,North of Badwan,1954,NA,"Skull, Cranium and Mandible, Not Mounted",NA
yes,yes,32d7955c-2649-4f57-89a5-8b84f93c986a,80106913,858a7761-82a5-47df-8e8a-dbc8806cf424,427a6290-0c65-11dd-84d2-b8a03c50a862,mzlu,mammalia,l957/3113,"rhinopoma microphyllum (brünnich, 1782)","Rhinopoma microphyllum (Brünnich, 1782)",afghanistan,NA,NA,NA,Grotte Chamchir,1957,NA,Cranium,NA
yes,yes,b1c07c13-7169-43c7-98ac-ecc7ac317e64,859443301,cb790bee-26da-40ed-94e0-d179618f9bd4,96ca66b4-f762-11e1-a439-00145eb45e9a,amnh,mammals,m-170277,rhinopoma microphyllum,"Rhinopoma microphyllum (Brünnich, 1782)",afghanistan,NA,NA,NA,North of Badwan,1953,NA,"Skull, Cranium and Mandible, Not Mounted",NA
yes,yes,cd1afa65-98dc-4f71-9472-9868a6e03f89,80106925,858a7761-82a5-47df-8e8a-dbc8806cf424,427a6290-0c65-11dd-84d2-b8a03c50a862,mzlu,mammalia,l958/3318,"rhinopoma microphyllum (brünnich, 1782)","Rhinopoma microphyllum (Brünnich, 1782)",afghanistan,NA,NA,NA,"Grotte Khvadjah Largar, près Korghai, Naouzar, Guerechk",1958,NA,Alcohol,NA
yes,yes,daf29e85-392a-4d1b-af7b-aa317bff9290,80106915,858a7761-82a5-47df-8e8a-dbc8806cf424,427a6290-0c65-11dd-84d2-b8a03c50a862,mzlu,mammalia,l957/3182,"rhinopoma hardwickii gray, 1831","Rhinopoma hardwickii Gray, 1831",afghanistan,NA,NA,NA,Grotte Chamchir,1957,NA,Alcohol,NA
yes,yes,dfebc63f-4830-4b39-9206-10f2b05a1661,80106914,858a7761-82a5-47df-8e8a-dbc8806cf424,427a6290-0c65-11dd-84d2-b8a03c50a862,mzlu,mammalia,l957/3181,"rhinopoma microphyllum (brünnich, 1782)","Rhinopoma microphyllum (Brünnich, 1782)",afghanistan,NA,NA,NA,Grotte Chamchir,1957,NA,Alcohol,NA
yes,yes,f4e5ec30-80a6-46f8-b5fb-3626728e4cde,80106924,858a7761-82a5-47df-8e8a-dbc8806cf424,427a6290-0c65-11dd-84d2-b8a03c50a862,mzlu,mammalia,l958/3317,"rhinopoma microphyllum (brünnich, 1782)","Rhinopoma microphyllum (Brünnich, 1782)",afghanistan,NA,NA,NA,Grande grotte Moumlai du Kouh-Pir (Farah),1958,NA,Alcohol,NA
NA,yes,NA,1919812740,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1968.453,NA,"Rhinopoma microphyllum (Brünnich, 1782)",afghanistan,NA,NA,NA,"Chak-Naur, Kabul River, Nr. Pakistan  Border.",1967,NA,NA,NA
NA,yes,NA,1919812873,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1968.455,NA,"Rhinopoma microphyllum (Brünnich, 1782)",afghanistan,NA,NA,NA,"Chak-Naur, Kabul River, Nr. Pakistan  Border.",1967,NA,NA,NA
NA,yes,NA,1919812897,NA,7e380070-f762-11e1-a439-00145eb45e9a,nhmuk,zoo,1968.454,NA,"Rhinopoma microphyllum (Brünnich, 1782)",afghanistan,NA,NA,NA,"Chak-Naur, Kabul River, Nr. Pakistan  Border.",1967,NA,NA,NA
